Namespace(duration=43200, fig_directory='res/simulator', generate_addition_probabilities=False, generate_graphs=True, generate_table=False, model='GPT-3', model_size='350M', performace_log_interval=1, removal_probability=None, seed=None, spot_instance_desired_capacity=20, spot_instance_trace='traces/g4dn-trace-8-20.csv', start_hour=None)
[0.000] node1 simulate_spot_instance_add: 0
[0.000] node3 simulate_spot_instance_add: 0
[0.000] node7 simulate_spot_instance_add: 0
[0.000] node15 simulate_spot_instance_add: 0
[0.000] node14 simulate_spot_instance_add: 0
[0.000] node6 simulate_spot_instance_add: 0
[0.000] node13 simulate_spot_instance_add: 0
[0.000] node12 simulate_spot_instance_add: 0
[0.000] node2 simulate_spot_instance_add: 0
[0.000] node5 simulate_spot_instance_add: 0
[0.000] node11 simulate_spot_instance_add: 0
[0.000] node10 simulate_spot_instance_add: 0
[0.000] node20 simulate_spot_instance_add: 0
[0.000] node4 simulate_spot_instance_add: 0
[0.000] node9 simulate_spot_instance_add: 0
[0.000] node19 simulate_spot_instance_add: 0
[0.000] node18 simulate_spot_instance_add: 0
[0.000] node8 simulate_spot_instance_add: 0
[0.000] node17 simulate_spot_instance_add: 0
[0.000] node16 simulate_spot_instance_add: 0
[45.000] node7 simulate_spot_instance_ready: 45000
[45.000] node7 starting global rendezvous
[45.000] simulate_rendezvous_start: 45000 True
[45.000] simulate_rendezvous_restart: 45000
[45.000] simulate_preparation: 45000 ['node7']
[45.000] node14 simulate_spot_instance_ready: 45000
[45.000] node6 simulate_spot_instance_ready: 45000
[45.000] node17 simulate_spot_instance_ready: 45000
[45.000] node16 simulate_spot_instance_ready: 45000
[45.000] node15 simulate_spot_instance_ready: 45000
[45.000] node13 simulate_spot_instance_ready: 45000
[45.000] node5 simulate_spot_instance_ready: 45000
[45.000] node8 simulate_spot_instance_ready: 45000
[45.000] node12 simulate_spot_instance_ready: 45000
[45.000] node2 simulate_spot_instance_ready: 45000
[45.000] node11 simulate_spot_instance_ready: 45000
[45.000] node20 simulate_spot_instance_ready: 45000
[45.000] node18 simulate_spot_instance_ready: 45000
[45.000] node10 simulate_spot_instance_ready: 45000
[45.000] node4 simulate_spot_instance_ready: 45000
[45.000] node19 simulate_spot_instance_ready: 45000
[45.000] node1 simulate_spot_instance_ready: 45000
[45.000] node3 simulate_spot_instance_ready: 45000
[45.000] node9 simulate_spot_instance_ready: 45000
[46.000] simulate_preparation: 46000
[46.000] simulate_preparation: 46000 ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
[46.000] simulate_assign_coordinates ['node7', 'node14', 'node6', 'node17', 'node16', 'node15', 'node13', 'node5', 'node8', 'node12', 'node2', 'node11', 'node20', 'node18', 'node10', 'node4', 'node19', 'node1', 'node3', 'node9']
46000 20 nodes completed rendezvous version 1, 20x1 configuration
46000 starting training with 20 20 nodes
[9060.000] node28 simulate_spot_instance_add: 9060000
[9065.561] simulate training iteration execution finish 815
[9077.851] simulate training iteration execution finish 816
[9090.141] simulate training iteration execution finish 817
[9102.431] simulate training iteration execution finish 818
[9105.000] node28 simulate_spot_instance_ready: 9105000
[9114.721] simulate training iteration execution finish 819
[9120.000] node29 simulate_spot_instance_add: 9120000
[9127.011] simulate training iteration execution finish 820
[9139.301] simulate training iteration execution finish 821
[9151.591] simulate training iteration execution finish 822
[9163.881] simulate training iteration execution finish 823
[9165.000] node29 simulate_spot_instance_ready: 9165000
[9176.171] simulate training iteration execution finish 824
[9188.461] simulate training iteration execution finish 825
[9200.751] simulate training iteration execution finish 826
[9213.041] simulate training iteration execution finish 827
[9225.331] simulate training iteration execution finish 828
[9237.621] simulate training iteration execution finish 829
[9249.911] simulate training iteration execution finish 830
[9262.201] simulate training iteration execution finish 831
[9274.491] simulate training iteration execution finish 832
[9286.781] simulate training iteration execution finish 833
[9299.071] simulate training iteration execution finish 834
[9311.361] simulate training iteration execution finish 835
[9323.651] simulate training iteration execution finish 836
[9335.941] simulate training iteration execution finish 837
[9348.231] simulate training iteration execution finish 838
[9360.521] simulate training iteration execution finish 839
[9372.811] simulate training iteration execution finish 840
[9385.101] simulate training iteration execution finish 841
[9397.391] simulate training iteration execution finish 842
[9409.681] simulate training iteration execution finish 843
[9421.971] simulate training iteration execution finish 844
[9434.261] simulate training iteration execution finish 845
[9446.551] simulate training iteration execution finish 846
[9458.841] simulate training iteration execution finish 847
[9471.131] simulate training iteration execution finish 848
[9480.000] node29 simulate_spot_instance_remove: 9480000
[9480.000] simulate_rendezvous_start: 9480000 False
[9480.000] simulate_rendezvous_restart: 9480000
[9481.038] simulate_reconfigure: 9481038.125
[9481.038] simulate_preparation: 9481038.125 ['node3', 'node13', 'node12', 'node10', 'node20', 'node9', 'node18', 'node17', 'node21', 'node23', 'node24', 'node26', 'node27', 'node28']
[9481.038] simulate_assign_coordinates ['node3', 'node13', 'node12', 'node10', 'node20', 'node9', 'node18', 'node17', 'node21', 'node23', 'node24', 'node26', 'node27', 'node28']
9481038.125 14 nodes completed rendezvous version 11, 14x1 configuration
9481038.125 starting training with 14 14 nodes
[9492.198] simulate training iteration execution finish 849
[9503.358] simulate training iteration execution finish 850
[9514.518] simulate training iteration execution finish 851
[9525.678] simulate training iteration execution finish 852
[9536.838] simulate training iteration execution finish 853
[9547.998] simulate training iteration execution finish 854
[9559.158] simulate training iteration execution finish 855
[9570.318] simulate training iteration execution finish 856
[9581.478] simulate training iteration execution finish 857
[9592.638] simulate training iteration execution finish 858
[9603.798] simulate training iteration execution finish 859
[9614.958] simulate training iteration execution finish 860
[9626.118] simulate training iteration execution finish 861
[9637.278] simulate training iteration execution finish 862
[9648.438] simulate training iteration execution finish 863
[9659.598] simulate training iteration execution finish 864
[9670.758] simulate training iteration execution finish 865
[9681.918] simulate training iteration execution finish 866
[9693.078] simulate training iteration execution finish 867
[9704.238] simulate training iteration execution finish 868
[9715.398] simulate training iteration execution finish 869
[9726.558] simulate training iteration execution finish 870
[9737.718] simulate training iteration execution finish 871
[9748.878] simulate training iteration execution finish 872
[9760.038] simulate training iteration execution finish 873
[9771.198] simulate training iteration execution finish 874
[9782.358] simulate training iteration execution finish 875
[9793.518] simulate training iteration execution finish 876
[9804.678] simulate training iteration execution finish 877
[9815.838] simulate training iteration execution finish 878
[9826.998] simulate training iteration execution finish 879
[9838.158] simulate training iteration execution finish 880
[9840.000] node24 simulate_spot_instance_remove: 9840000
[9840.000] simulate_rendezvous_start: 9840000 False
[9840.000] simulate_rendezvous_restart: 9840000
[9841.038] simulate_reconfigure: 9841038.125
[9841.038] simulate_preparation: 9841038.125 ['node3', 'node13', 'node12', 'node10', 'node20', 'node9', 'node18', 'node17', 'node21', 'node23', 'node26', 'node27', 'node28']
[9841.038] simulate_assign_coordinates ['node3', 'node13', 'node12', 'node10', 'node20', 'node9', 'node18', 'node17', 'node21', 'node23', 'node26', 'node27', 'node28']
9841038.125 13 nodes completed rendezvous version 12, 13x1 configuration
9841038.125 starting training with 13 13 nodes
[9853.328] simulate training iteration execution finish 881
[9865.618] simulate training iteration execution finish 882
[9877.908] simulate training iteration execution finish 883
[9890.198] simulate training iteration execution finish 884
[9902.488] simulate training iteration execution finish 885
[9914.778] simulate training iteration execution finish 886
[9927.068] simulate training iteration execution finish 887
[9939.358] simulate training iteration execution finish 888
[9951.648] simulate training iteration execution finish 889
[9960.000] node30 simulate_spot_instance_add: 9960000
[9963.938] simulate training iteration execution finish 890
[9976.228] simulate training iteration execution finish 891
[9988.518] simulate training iteration execution finish 892
[10000.808] simulate training iteration execution finish 893
[10005.000] node30 simulate_spot_instance_ready: 10005000
[10013.098] simulate training iteration execution finish 894
[10025.388] simulate training iteration execution finish 895
[10037.678] simulate training iteration execution finish 896
[10049.968] simulate training iteration execution finish 897
[10062.258] simulate training iteration execution finish 898
[10074.548] simulate training iteration execution finish 899
[10086.838] simulate training iteration execution finish 900
[10099.128] simulate training iteration execution finish 901
[10111.418] simulate training iteration execution finish 902
[10123.708] simulate training iteration execution finish 903
[10135.998] simulate training iteration execution finish 904
[10148.288] simulate training iteration execution finish 905
[10160.578] simulate training iteration execution finish 906
[10172.868] simulate training iteration execution finish 907
[10185.158] simulate training iteration execution finish 908
[10197.448] simulate training iteration execution finish 909
[10209.738] simulate training iteration execution finish 910
[10222.028] simulate training iteration execution finish 911
[10234.318] simulate training iteration execution finish 912
[10246.608] simulate training iteration execution finish 913
[10258.898] simulate training iteration execution finish 914
[10271.188] simulate training iteration execution finish 915
[10283.478] simulate training iteration execution finish 916
[10295.768] simulate training iteration execution finish 917
[10308.058] simulate training iteration execution finish 918
[10320.348] simulate training iteration execution finish 919
[10332.638] simulate training iteration execution finish 920
[10344.928] simulate training iteration execution finish 921
[10357.218] simulate training iteration execution finish 922
[10369.508] simulate training iteration execution finish 923
[10381.798] simulate training iteration execution finish 924
[10394.088] simulate training iteration execution finish 925
[10406.378] simulate training iteration execution finish 926
[10418.668] simulate training iteration execution finish 927
[10430.958] simulate training iteration execution finish 928
[10443.248] simulate training iteration execution finish 929
[10455.538] simulate training iteration execution finish 930
[10467.828] simulate training iteration execution finish 931
[10480.118] simulate training iteration execution finish 932
[10492.408] simulate training iteration execution finish 933
[10504.698] simulate training iteration execution finish 934
[10516.988] simulate training iteration execution finish 935
[10529.278] simulate training iteration execution finish 936
[10541.568] simulate training iteration execution finish 937
[10553.858] simulate training iteration execution finish 938
[10566.148] simulate training iteration execution finish 939
[10578.438] simulate training iteration execution finish 940
[10590.728] simulate training iteration execution finish 941
[10603.018] simulate training iteration execution finish 942
[10615.308] simulate training iteration execution finish 943
[10627.598] simulate training iteration execution finish 944
[10639.888] simulate training iteration execution finish 945
[10652.178] simulate training iteration execution finish 946
[10664.468] simulate training iteration execution finish 947
[10676.758] simulate training iteration execution finish 948
[10689.048] simulate training iteration execution finish 949
[10701.338] simulate training iteration execution finish 950
[10713.628] simulate training iteration execution finish 951
[10725.918] simulate training iteration execution finish 952
[10738.208] simulate training iteration execution finish 953
[10750.498] simulate training iteration execution finish 954
[10762.788] simulate training iteration execution finish 955
[10775.078] simulate training iteration execution finish 956
[10787.368] simulate training iteration execution finish 957
[10799.658] simulate training iteration execution finish 958
[10811.948] simulate training iteration execution finish 959
[10824.238] simulate training iteration execution finish 960
[10836.528] simulate training iteration execution finish 961
[10848.818] simulate training iteration execution finish 962
[10861.108] simulate training iteration execution finish 963
[10873.398] simulate training iteration execution finish 964
[10885.688] simulate training iteration execution finish 965
[10897.978] simulate training iteration execution finish 966
[10910.268] simulate training iteration execution finish 967
[10922.558] simulate training iteration execution finish 968
[10934.848] simulate training iteration execution finish 969
[10947.138] simulate training iteration execution finish 970
[10959.428] simulate training iteration execution finish 971
[10971.718] simulate training iteration execution finish 972
[10984.008] simulate training iteration execution finish 973
[10996.298] simulate training iteration execution finish 974
[11008.588] simulate training iteration execution finish 975
[11020.878] simulate training iteration execution finish 976
[11033.168] simulate training iteration execution finish 977
[11045.458] simulate training iteration execution finish 978
[11057.748] simulate training iteration execution finish 979
[11070.038] simulate training iteration execution finish 980
[11082.328] simulate training iteration execution finish 981
[11094.618] simulate training iteration execution finish 982
[11106.908] simulate training iteration execution finish 983
[11119.198] simulate training iteration execution finish 984
[11131.488] simulate training iteration execution finish 985
[11143.778] simulate training iteration execution finish 986
[11156.068] simulate training iteration execution finish 987
[11168.358] simulate training iteration execution finish 988
[11180.648] simulate training iteration execution finish 989
[11192.938] simulate training iteration execution finish 990
[11205.228] simulate training iteration execution finish 991
[11217.518] simulate training iteration execution finish 992
[11229.808] simulate training iteration execution finish 993
[11242.098] simulate training iteration execution finish 994
[11254.388] simulate training iteration execution finish 995
[11266.678] simulate training iteration execution finish 996
[11278.968] simulate training iteration execution finish 997
[11291.258] simulate training iteration execution finish 998
[11303.548] simulate training iteration execution finish 999
[11315.838] simulate training iteration execution finish 1000
[11328.128] simulate training iteration execution finish 1001
[11340.418] simulate training iteration execution finish 1002
[11352.708] simulate training iteration execution finish 1003
[11364.998] simulate training iteration execution finish 1004
[11377.288] simulate training iteration execution finish 1005
[11389.578] simulate training iteration execution finish 1006
[11401.868] simulate training iteration execution finish 1007
[11414.158] simulate training iteration execution finish 1008
[11426.448] simulate training iteration execution finish 1009
[11438.738] simulate training iteration execution finish 1010
[11451.028] simulate training iteration execution finish 1011
[11463.318] simulate training iteration execution finish 1012
[11475.608] simulate training iteration execution finish 1013
[11487.898] simulate training iteration execution finish 1014
[11500.188] simulate training iteration execution finish 1015
[11512.478] simulate training iteration execution finish 1016
[11520.000] node27 simulate_spot_instance_remove: 11520000
[11520.000] simulate_rendezvous_start: 11520000 False
[11520.000] simulate_rendezvous_restart: 11520000
no need to reconfigure, {last_instances_num} == {new_instances_num}
[11520.000] node9 simulate_spot_instance_remove: 11520000
[11520.000] same delta as last reconfigure, skipping
[11520.000] simulate_reconfigure: 11520000
[11520.000] simulate_preparation: 11520000 ['node3', 'node13', 'node12', 'node10', 'node20', 'node9', 'node18', 'node17', 'node21', 'node23', 'node26', 'node28', 'node30']
[11520.000] node9 terminated during redezvous, restarting
[11520.000] simulate_rendezvous_restart: 11520000
[11520.000] simulate_preparation: 11520000
[11520.000] simulate_preparation: 11520000 ['node3', 'node13', 'node12', 'node10', 'node20', 'node18', 'node17', 'node21', 'node23', 'node26', 'node28', 'node30']
[11520.000] simulate_assign_coordinates ['node3', 'node13', 'node12', 'node10', 'node20', 'node18', 'node17', 'node21', 'node23', 'node26', 'node28', 'node30']
11520000 12 nodes completed rendezvous version 13, 12x1 configuration
11520000 starting training with 12 12 nodes
[11532.600] simulate training iteration execution finish 1017
[11545.200] simulate training iteration execution finish 1018
[11557.800] simulate training iteration execution finish 1019
[11570.400] simulate training iteration execution finish 1020
[11583.000] simulate training iteration execution finish 1021
[11595.600] simulate training iteration execution finish 1022
[11608.200] simulate training iteration execution finish 1023
[11620.800] simulate training iteration execution finish 1024
[11633.400] simulate training iteration execution finish 1025
[11640.000] node10 simulate_spot_instance_remove: 11640000
[11640.000] simulate_rendezvous_start: 11640000 False
[11640.000] simulate_rendezvous_restart: 11640000
[11640.000] node30 simulate_spot_instance_remove: 11640000
[11640.000] same delta as last reconfigure, skipping
[11641.184] simulate_reconfigure: 11641184.375
[11641.184] simulate_preparation: 11641184.375 ['node3', 'node13', 'node12', 'node20', 'node18', 'node17', 'node21', 'node23', 'node26', 'node28', 'node30']
[11641.184] node30 terminated during redezvous, restarting
[11641.184] simulate_rendezvous_restart: 11641184.375
[11641.184] simulate_preparation: 11641184.375
[11641.184] simulate_preparation: 11641184.375 ['node3', 'node13', 'node12', 'node20', 'node18', 'node17', 'node21', 'node23', 'node26', 'node28']
[11641.184] simulate_assign_coordinates ['node3', 'node13', 'node12', 'node20', 'node18', 'node17', 'node21', 'node23', 'node26', 'node28']
11641184.375 10 nodes completed rendezvous version 14, 10x1 configuration
11641184.375 starting training with 10 10 nodes
[11656.234] simulate training iteration execution finish 1026
[11671.284] simulate training iteration execution finish 1027
[11686.334] simulate training iteration execution finish 1028
[11701.384] simulate training iteration execution finish 1029
[11716.434] simulate training iteration execution finish 1030
[11731.484] simulate training iteration execution finish 1031
[11746.534] simulate training iteration execution finish 1032
[11760.000] node21 simulate_spot_instance_remove: 11760000
[11760.000] simulate_rendezvous_start: 11760000 False
[11760.000] simulate_rendezvous_restart: 11760000
[11760.000] node20 simulate_spot_instance_remove: 11760000
[11760.000] same delta as last reconfigure, skipping
[11761.390] simulate_reconfigure: 11761390.0
[11761.390] simulate_preparation: 11761390.0 ['node3', 'node13', 'node12', 'node20', 'node18', 'node17', 'node23', 'node26', 'node28']
[11761.390] node20 terminated during redezvous, restarting
[11761.390] simulate_rendezvous_restart: 11761390.0
[11761.390] simulate_preparation: 11761390.0
[11761.390] simulate_preparation: 11761390.0 ['node3', 'node13', 'node12', 'node18', 'node17', 'node23', 'node26', 'node28']
[11761.390] simulate_assign_coordinates ['node3', 'node13', 'node12', 'node18', 'node17', 'node23', 'node26', 'node28']
11761390.0 8 nodes completed rendezvous version 15, 8x1 configuration
11761390.0 starting training with 8 8 nodes
[11779.850] simulate training iteration execution finish 1033
[11798.310] simulate training iteration execution finish 1034
[11816.770] simulate training iteration execution finish 1035
[11835.230] simulate training iteration execution finish 1036
[11853.690] simulate training iteration execution finish 1037
[11872.150] simulate training iteration execution finish 1038
[11890.610] simulate training iteration execution finish 1039
[11909.070] simulate training iteration execution finish 1040
[11927.530] simulate training iteration execution finish 1041
[11945.990] simulate training iteration execution finish 1042
[11964.450] simulate training iteration execution finish 1043
[11982.910] simulate training iteration execution finish 1044
[12001.370] simulate training iteration execution finish 1045
[12019.830] simulate training iteration execution finish 1046
[12038.290] simulate training iteration execution finish 1047
[12056.750] simulate training iteration execution finish 1048
[12075.210] simulate training iteration execution finish 1049
[12093.670] simulate training iteration execution finish 1050
[12112.130] simulate training iteration execution finish 1051
[12120.000] node31 simulate_spot_instance_add: 12120000
[12120.000] node32 simulate_spot_instance_add: 12120000
[12130.590] simulate training iteration execution finish 1052
[12149.050] simulate training iteration execution finish 1053
[12165.000] node31 simulate_spot_instance_ready: 12165000
[12165.000] node32 simulate_spot_instance_ready: 12165000
[12167.510] simulate training iteration execution finish 1054
[12185.970] simulate training iteration execution finish 1055
[12204.430] simulate training iteration execution finish 1056
[12222.890] simulate training iteration execution finish 1057
[12241.350] simulate training iteration execution finish 1058
[12259.810] simulate training iteration execution finish 1059
[12278.270] simulate training iteration execution finish 1060
[12296.730] simulate training iteration execution finish 1061
[12315.190] simulate training iteration execution finish 1062
[12333.650] simulate training iteration execution finish 1063
[12352.110] simulate training iteration execution finish 1064
[12360.000] node33 simulate_spot_instance_add: 12360000
[12370.570] simulate training iteration execution finish 1065
[12389.030] simulate training iteration execution finish 1066
[12405.000] node33 simulate_spot_instance_ready: 12405000
[12407.490] simulate training iteration execution finish 1067
[12425.950] simulate training iteration execution finish 1068
[12444.410] simulate training iteration execution finish 1069
[12462.870] simulate training iteration execution finish 1070
[12481.330] simulate training iteration execution finish 1071
[12499.790] simulate training iteration execution finish 1072
[12518.250] simulate training iteration execution finish 1073
[12536.710] simulate training iteration execution finish 1074
[12555.170] simulate training iteration execution finish 1075
[12573.630] simulate training iteration execution finish 1076
[12592.090] simulate training iteration execution finish 1077
[12600.000] node34 simulate_spot_instance_add: 12600000
[12610.550] simulate training iteration execution finish 1078
[12629.010] simulate training iteration execution finish 1079
[12645.000] node34 simulate_spot_instance_ready: 12645000
[12647.470] simulate training iteration execution finish 1080
[12665.930] simulate training iteration execution finish 1081
[12684.390] simulate training iteration execution finish 1082
[12702.850] simulate training iteration execution finish 1083
[12720.000] node35 simulate_spot_instance_add: 12720000
[12721.310] simulate training iteration execution finish 1084
[12739.770] simulate training iteration execution finish 1085
[12758.230] simulate training iteration execution finish 1086
[12765.000] node35 simulate_spot_instance_ready: 12765000
[12776.690] simulate training iteration execution finish 1087
[12795.150] simulate training iteration execution finish 1088
[12813.610] simulate training iteration execution finish 1089
[12832.070] simulate training iteration execution finish 1090
[12840.000] node36 simulate_spot_instance_add: 12840000
[12850.530] simulate training iteration execution finish 1091
[12868.990] simulate training iteration execution finish 1092
[12885.000] node36 simulate_spot_instance_ready: 12885000
[12887.450] simulate training iteration execution finish 1093
[12905.910] simulate training iteration execution finish 1094
[12924.370] simulate training iteration execution finish 1095
[12942.830] simulate training iteration execution finish 1096
[12960.000] node37 simulate_spot_instance_add: 12960000
[12960.000] node38 simulate_spot_instance_add: 12960000
[12961.290] simulate training iteration execution finish 1097
[12979.750] simulate training iteration execution finish 1098
[12998.210] simulate training iteration execution finish 1099
[13005.000] node37 simulate_spot_instance_ready: 13005000
[13005.000] node38 simulate_spot_instance_ready: 13005000
[13016.670] simulate training iteration execution finish 1100
[13035.130] simulate training iteration execution finish 1101
[13053.590] simulate training iteration execution finish 1102
[13072.050] simulate training iteration execution finish 1103
[13090.510] simulate training iteration execution finish 1104
[13108.970] simulate training iteration execution finish 1105
[13127.430] simulate training iteration execution finish 1106
[13145.890] simulate training iteration execution finish 1107
[13164.350] simulate training iteration execution finish 1108
[13182.810] simulate training iteration execution finish 1109
[13201.270] simulate training iteration execution finish 1110
[13219.730] simulate training iteration execution finish 1111
[13238.190] simulate training iteration execution finish 1112
[13256.650] simulate training iteration execution finish 1113
[13275.110] simulate training iteration execution finish 1114
[13293.570] simulate training iteration execution finish 1115
[13312.030] simulate training iteration execution finish 1116
[13320.000] node37 simulate_spot_instance_remove: 13320000
[13320.000] simulate_rendezvous_start: 13320000 False
[13320.000] simulate_rendezvous_restart: 13320000
[13321.424] simulate_reconfigure: 13321423.75
[13321.424] simulate_preparation: 13321423.75 ['node3', 'node13', 'node12', 'node18', 'node17', 'node23', 'node26', 'node28', 'node31', 'node32', 'node33', 'node34', 'node35', 'node36', 'node38']
[13321.424] simulate_assign_coordinates ['node3', 'node13', 'node12', 'node18', 'node17', 'node23', 'node26', 'node28', 'node31', 'node32', 'node33', 'node34', 'node35', 'node36', 'node38']
13321423.75 15 nodes completed rendezvous version 16, 15x1 configuration
13321423.75 starting training with 15 15 nodes
[13333.024] simulate training iteration execution finish 1117
[13344.624] simulate training iteration execution finish 1118
[13356.224] simulate training iteration execution finish 1119
[13367.824] simulate training iteration execution finish 1120
[13379.424] simulate training iteration execution finish 1121
[13391.024] simulate training iteration execution finish 1122
[13402.624] simulate training iteration execution finish 1123
[13414.224] simulate training iteration execution finish 1124
[13425.824] simulate training iteration execution finish 1125
[13437.424] simulate training iteration execution finish 1126
[13449.024] simulate training iteration execution finish 1127
[13460.624] simulate training iteration execution finish 1128
[13472.224] simulate training iteration execution finish 1129
[13483.824] simulate training iteration execution finish 1130
[13495.424] simulate training iteration execution finish 1131
[13500.000] node39 simulate_spot_instance_add: 13500000
[13507.024] simulate training iteration execution finish 1132
[13518.624] simulate training iteration execution finish 1133
[13530.224] simulate training iteration execution finish 1134
[13541.824] simulate training iteration execution finish 1135
[13545.000] node39 simulate_spot_instance_ready: 13545000
[13553.424] simulate training iteration execution finish 1136
[13565.024] simulate training iteration execution finish 1137
[13576.624] simulate training iteration execution finish 1138
[13588.224] simulate training iteration execution finish 1139
[13599.824] simulate training iteration execution finish 1140
[13611.424] simulate training iteration execution finish 1141
[13623.024] simulate training iteration execution finish 1142
[13634.624] simulate training iteration execution finish 1143
[13646.224] simulate training iteration execution finish 1144
[13657.824] simulate training iteration execution finish 1145
[13669.424] simulate training iteration execution finish 1146
[13681.024] simulate training iteration execution finish 1147
[13692.624] simulate training iteration execution finish 1148
[13704.224] simulate training iteration execution finish 1149
[13715.824] simulate training iteration execution finish 1150
[13727.424] simulate training iteration execution finish 1151
[13739.024] simulate training iteration execution finish 1152
[13750.624] simulate training iteration execution finish 1153
[13762.224] simulate training iteration execution finish 1154
[13773.824] simulate training iteration execution finish 1155
[13785.424] simulate training iteration execution finish 1156
[13797.024] simulate training iteration execution finish 1157
[13808.624] simulate training iteration execution finish 1158
[13820.224] simulate training iteration execution finish 1159
[13831.824] simulate training iteration execution finish 1160
[13843.424] simulate training iteration execution finish 1161
[13855.024] simulate training iteration execution finish 1162
[13866.624] simulate training iteration execution finish 1163
[13878.224] simulate training iteration execution finish 1164
[13889.824] simulate training iteration execution finish 1165
[13901.424] simulate training iteration execution finish 1166
[13913.024] simulate training iteration execution finish 1167
[13920.000] node35 simulate_spot_instance_remove: 13920000
[13920.000] simulate_rendezvous_start: 13920000 False
[13920.000] simulate_rendezvous_restart: 13920000
no need to reconfigure, {last_instances_num} == {new_instances_num}
[13920.000] node39 simulate_spot_instance_remove: 13920000
[13920.000] same delta as last reconfigure, skipping
[13920.000] simulate_reconfigure: 13920000
[13920.000] simulate_preparation: 13920000 ['node3', 'node13', 'node12', 'node18', 'node17', 'node23', 'node26', 'node28', 'node31', 'node32', 'node33', 'node34', 'node36', 'node38', 'node39']
[13920.000] node39 terminated during redezvous, restarting
[13920.000] simulate_rendezvous_restart: 13920000
[13920.000] simulate_preparation: 13920000
[13920.000] simulate_preparation: 13920000 ['node3', 'node13', 'node12', 'node18', 'node17', 'node23', 'node26', 'node28', 'node31', 'node32', 'node33', 'node34', 'node36', 'node38']
[13920.000] simulate_assign_coordinates ['node3', 'node13', 'node12', 'node18', 'node17', 'node23', 'node26', 'node28', 'node31', 'node32', 'node33', 'node34', 'node36', 'node38']
13920000 14 nodes completed rendezvous version 17, 14x1 configuration
13920000 starting training with 14 14 nodes
[13931.160] simulate training iteration execution finish 1168
[13942.320] simulate training iteration execution finish 1169
[13953.480] simulate training iteration execution finish 1170
[13964.640] simulate training iteration execution finish 1171
[13975.800] simulate training iteration execution finish 1172
[13986.960] simulate training iteration execution finish 1173
[13998.120] simulate training iteration execution finish 1174
[14009.280] simulate training iteration execution finish 1175
[14020.440] simulate training iteration execution finish 1176
[14031.600] simulate training iteration execution finish 1177
[14042.760] simulate training iteration execution finish 1178
[14053.920] simulate training iteration execution finish 1179
[14065.080] simulate training iteration execution finish 1180
[14076.240] simulate training iteration execution finish 1181
[14087.400] simulate training iteration execution finish 1182
[14098.560] simulate training iteration execution finish 1183
[14100.000] node43 simulate_spot_instance_add: 14100000
[14100.000] node42 simulate_spot_instance_add: 14100000
[14100.000] node41 simulate_spot_instance_add: 14100000
[14100.000] node40 simulate_spot_instance_add: 14100000
[14109.720] simulate training iteration execution finish 1184
[14120.880] simulate training iteration execution finish 1185
[14132.040] simulate training iteration execution finish 1186
[14143.200] simulate training iteration execution finish 1187
[14145.000] node43 simulate_spot_instance_ready: 14145000
[14145.000] node42 simulate_spot_instance_ready: 14145000
[14145.000] node41 simulate_spot_instance_ready: 14145000
[14145.000] node40 simulate_spot_instance_ready: 14145000
[14154.360] simulate training iteration execution finish 1188
[14165.520] simulate training iteration execution finish 1189
[14176.680] simulate training iteration execution finish 1190
[14187.840] simulate training iteration execution finish 1191
[14199.000] simulate training iteration execution finish 1192
[14210.160] simulate training iteration execution finish 1193
[14221.320] simulate training iteration execution finish 1194
[14232.480] simulate training iteration execution finish 1195
[14243.640] simulate training iteration execution finish 1196
[14254.800] simulate training iteration execution finish 1197
[14265.960] simulate training iteration execution finish 1198
[14277.120] simulate training iteration execution finish 1199
[14288.280] simulate training iteration execution finish 1200
[14299.440] simulate training iteration execution finish 1201
[14310.600] simulate training iteration execution finish 1202
[14321.760] simulate training iteration execution finish 1203
[14332.920] simulate training iteration execution finish 1204
[14340.000] node45 simulate_spot_instance_add: 14340000
[14340.000] node44 simulate_spot_instance_add: 14340000
[14344.080] simulate training iteration execution finish 1205
[14355.240] simulate training iteration execution finish 1206
[14366.400] simulate training iteration execution finish 1207
[14377.560] simulate training iteration execution finish 1208
[14385.000] node45 simulate_spot_instance_ready: 14385000
[14385.000] node44 simulate_spot_instance_ready: 14385000
[14388.720] simulate training iteration execution finish 1209
[14399.880] simulate training iteration execution finish 1210
[14411.040] simulate training iteration execution finish 1211
[14422.200] simulate training iteration execution finish 1212
[14433.360] simulate training iteration execution finish 1213
[14444.520] simulate training iteration execution finish 1214
[14455.680] simulate training iteration execution finish 1215
[14466.840] simulate training iteration execution finish 1216
[14478.000] simulate training iteration execution finish 1217
[14489.160] simulate training iteration execution finish 1218
[14500.320] simulate training iteration execution finish 1219
[14511.480] simulate training iteration execution finish 1220
[14522.640] simulate training iteration execution finish 1221
[14533.800] simulate training iteration execution finish 1222
[14544.960] simulate training iteration execution finish 1223
[14556.120] simulate training iteration execution finish 1224
[14567.280] simulate training iteration execution finish 1225
[14578.440] simulate training iteration execution finish 1226
[14589.600] simulate training iteration execution finish 1227
[14600.760] simulate training iteration execution finish 1228
[14611.920] simulate training iteration execution finish 1229
[14623.080] simulate training iteration execution finish 1230
